City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
72,menongue,-14.6585,17.691,76.15,55,100,4.27,AO,1639574136,overcast clouds
73,fuerte,17.5381,120.3644,76.41,70,40,7.34,PH,1639574137,scattered clouds
74,qaanaaq,77.484,-69.3632,-3.1,74,0,6.55,GL,1639574137,clear sky
75,yerbogachen,61.2767,108.0108,-14.39,87,100,11.3,RU,1639574137,overcast clouds
76,polazna,58.2946,56.4055,22.39,99,100,3.02,RU,1639574138,overcast clouds
77,kaeo,-35.1,173.7833,66.33,91,72,11.45,NZ,1639574138,broken clouds
78,chumikan,54.7183,135.315,-9.54,82,100,22.01,RU,1639574138,overcast clouds
79,khatanga,71.9667,102.5,-6.92,96,100,4.97,RU,1639574139,overcast clouds
80,tucuman,-26.8241,-65.2226,69.8,83,90,8.05,AR,1639573929,overcast clouds
81,narsaq,60.9167,-46.05,25.02,81,100,6.89,GL,1639574139,overcast clouds
82,port-cartier,50.0334,-66.8654,19.62,77,5,9.42,CA,1639574139,clear sky
83,bredasdorp,-34.5322,20.0403,60.28,53,100,22.84,ZA,1639574140,overcast clouds
84,kavaratti,10.5669,72.642,82.98,68,100,4.27,IN,1639574140,overcast clouds
85,isla vista,34.4133,-119.861,47.34,73,1,0.0,US,1639574140,clear sky
86,vestmannaeyjar,63.4427,-20.2734,43.79,81,40,28.77,IS,1639574141,scattered clouds
87,hobart,-42.8794,147.3294,57.06,76,90,1.14,AU,1639574141,overcast clouds
88,te anau,-45.4167,167.7167,55.62,88,100,2.68,NZ,1639574141,heavy intensity rain
89,cidreira,-30.1811,-50.2056,72.32,93,100,16.24,BR,1639574142,overcast clouds
90,urumqi,43.801,87.6005,16.75,93,75,2.24,CN,1639574142,light snow
91,cape town,-33.9258,18.4232,71.89,51,40,8.99,ZA,1639574108,scattered clouds
92,cabinda,-5.55,12.2,84.34,69,98,10.31,AO,1639574143,overcast clouds
93,atambua,-9.1061,124.8925,76.35,82,90,2.66,ID,1639574143,overcast clouds
94,kolokani,13.5728,-8.0339,92.19,10,100,19.82,ML,1639574143,overcast clouds
95,sept-iles,50.2001,-66.3821,18.05,73,14,5.99,CA,1639573982,few clouds
96,harnai,30.1005,67.9374,46.78,12,0,0.85,PK,1639574144,clear sky
